City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Puerto Ayora,0,EC,1552233600,74,-0.74,-90.35,80.6,6.93
Dingle,80,PH,1552236599,84,11.0,122.67,75.86,4.76
Tuktoyaktuk,40,CA,1552233600,84,69.44,-133.03,5.0,5.82
Saint-Francois,0,FR,1552233600,47,46.42,3.91,59.0,17.22
Albany,90,US,1552236543,69,42.65,-73.75,37.4,14.99
Torbay,75,CA,1552236502,68,47.66,-52.73,32.0,18.34
Provideniya,80,RU,1552236607,100,64.42,-173.23,19.39,33.96
Acapulco,5,MX,1552232820,74,16.86,-99.88,82.4,4.54
Pangnirtung,20,CA,1552233600,69,66.15,-65.72,-13.01,5.55
Port Blair,0,IN,1552236611,100,11.67,92.75,82.66,9.53
Port Elizabeth,90,US,1552236604,87,39.31,-74.98,55.0,5.82
Mayumba,24,GA,1552236613,88,-3.44,10.65,82.88,10.36
Hami,0,CN,1552236615,63,42.84,93.51,25.96,1.59
Saint George,0,GR,1552234800,51,39.45,22.34,69.8,8.05
Camacha,20,PT,1552235879,68,33.08,-16.33,68.0,16.11
Hirado,24,JP,1552236193,71,33.32,129.49,55.0,7.0
Tual,64,ID,1552236620,100,-5.67,132.75,79.73,14.79
Rocha,0,UY,1552236536,52,-34.48,-54.34,74.2,11.65
Tasiilaq,56,GL,1552233000,49,65.61,-37.64,23.0,2.24
Miramar,0,CR,1552236388,47,10.09,-84.73,80.6,19.46
Locri,20,IT,1552236594,59,38.24,16.26,64.4,8.05
Sistranda,75,NO,1552236563,58,63.73,8.83,30.0,2.24
Yumen,0,CN,1552236628,60,40.29,97.04,26.68,10.54
Beloha,0,MG,1552236630,69,-25.17,45.06,75.82,14.94
Fort Wellington,12,GY,1552236631,90,6.4,-57.6,81.26,13.6
Anloga,20,GH,1552236632,60,5.79,0.9,86.89,6.4
Thompson,20,CA,1552233600,64,55.74,-97.86,-2.21,8.05
Palana,36,RU,1552236635,61,59.08,159.95,0.13,0.96
Emerald,0,AU,1552235241,65,-23.53,148.16,78.8,5.82
Ambilobe,92,MG,1552236638,95,-13.19,49.05,73.16,4.05
Ust-Koksa,8,RU,1552236639,59,50.27,85.62,0.98,1.86
Butaritari,88,KI,1552236640,100,3.07,172.79,82.21,13.15
Hilo,40,US,1552236635,93,19.71,-155.08,64.99,21.54
Kruisfontein,92,ZA,1552236643,84,-34.0,24.73,67.76,18.07
Ushuaia,0,AR,1552233600,55,-54.81,-68.31,62.6,14.83
Buchanan,40,LR,1552233600,66,5.88,-10.05,89.6,11.41
Sioux Lookout,90,CA,1552233600,92,50.1,-91.92,26.6,10.29
Havre-Saint-Pierre,1,CA,1552233600,44,50.23,-63.6,19.4,6.93
New Norfolk,20,AU,1552236376,50,-42.78,147.06,57.2,14.99
Henties Bay,0,NA,1552233781,79,-22.12,14.28,66.99,10.0
Ponta do Sol,8,BR,1552236652,63,-20.63,-46.0,86.89,3.38
Yuncheng,0,CN,1552236654,55,35.03,111.0,34.19,5.1
Dillon,1,US,1552236610,71,45.22,-112.64,26.01,5.82
Upernavik,12,GL,1552236656,100,72.79,-56.15,-2.13,9.42
Grand-Santi,36,GF,1552236658,64,4.27,-54.38,86.62,3.83
Kuytun,20,RU,1552236659,62,54.34,101.51,3.1,2.59
Ribeira Grande,75,PT,1552233600,77,38.52,-28.7,64.4,5.82
Yellowknife,20,CA,1552236630,84,62.45,-114.38,9.0,4.7
Sergeyevka,92,KZ,1552236663,91,53.88,67.42,26.77,15.12
Oranjestad,20,AW,1552233600,62,12.52,-70.03,84.2,28.86
Assiniboia,12,CA,1552236666,86,49.63,-105.99,16.01,4.61
Hofn,75,IS,1552233600,86,64.25,-15.21,33.8,11.41
Lebu,0,ET,1552236668,45,8.96,38.73,58.0,6.33
Marathon,90,CA,1552233600,73,48.72,-86.38,26.6,5.82
Itaituba,40,BR,1552233600,66,-4.26,-55.99,89.6,3.09
Sao Paulo do Potengi,40,BR,1552233600,52,-5.89,-35.76,89.6,16.11
Saint-Philippe,90,CA,1552236644,92,45.36,-73.48,32.0,10.29
Horni Plana,75,CZ,1552236407,54,48.77,14.03,59.0,26.4
Bambous Virieux,20,MU,1552236548,83,-20.34,57.76,77.0,3.36
Barrow,0,AR,1552236678,35,-38.31,-60.23,77.44,4.54
Mahebourg,20,MU,1552236548,83,-20.41,57.7,77.0,3.36
San Matias,20,HN,1552233600,44,13.97,-86.63,75.2,11.41
Bathsheba,75,BB,1552233600,58,13.22,-59.52,86.0,23.04
Bubaque,0,GW,1552236683,82,11.28,-15.83,83.06,6.55
Isangel,88,VU,1552236684,100,-19.55,169.27,78.34,11.25
Hervey Bay,36,AU,1552236309,88,-25.3,152.85,75.99,5.82
Cherskiy,44,RU,1552236687,64,68.75,161.3,-8.56,2.08
Fereydunshahr,0,IR,1552236688,64,32.94,50.12,6.83,2.08
Waipawa,92,NZ,1552236256,95,-39.94,176.59,57.0,1.97
Motala,20,SE,1552236382,55,58.54,15.04,32.0,10.29
Bandarbeyla,0,SO,1552236692,99,9.49,50.81,79.64,16.62
Paratinga,20,BR,1552236693,37,-12.69,-43.18,93.86,3.76
Cap Malheureux,20,MU,1552236548,83,-19.98,57.61,77.0,3.36
Coquimbo,0,CL,1552233600,60,-29.95,-71.34,68.0,13.87
Calamar,44,CO,1552236697,50,1.96,-72.65,91.39,2.82
Cockburn Town,68,TC,1552236698,94,21.46,-71.14,78.83,18.92
Yarmouth,40,GB,1552236660,49,50.71,-1.5,48.2,19.46
Teya,75,MX,1552236380,52,21.05,-89.07,90.0,17.22
Katsuura,75,JP,1552235084,93,33.93,134.5,53.01,6.93
Port Lincoln,92,AU,1552236704,97,-34.72,135.86,64.39,6.33
Los Llanos de Aridane,20,ES,1552236664,68,28.66,-17.92,72.0,12.75
Cabo San Lucas,5,MX,1552236382,73,22.89,-109.91,78.01,3.36
Lorengau,92,PG,1552236708,100,-2.02,147.27,79.87,15.28
Yining,0,CN,1552236709,82,29.04,114.56,35.41,2.3
Ler,20,NO,1552236563,58,63.2,10.3,30.0,4.7
Pauini,0,BR,1552236712,66,-7.71,-67.0,89.63,4.83
Tura,0,IN,1552236713,72,25.52,90.21,60.61,3.76
Bay Roberts,75,CA,1552236502,68,47.58,-53.28,32.0,18.34
Vardo,75,US,1552236703,76,39.62,-77.74,51.8,6.93
Banyuwangi,12,ID,1552236717,98,-8.21,114.37,78.56,2.98
Ucluelet,20,CA,1552233600,57,48.94,-125.55,32.0,1.07
Somanda,12,TZ,1552236720,43,-3.37,33.95,75.82,6.73
Riyadh,0,SA,1552233600,15,24.63,46.72,66.2,3.36
Verkhnevilyuysk,20,RU,1552236722,78,63.45,120.31,4.0,4.88
Terney,44,RU,1552236724,82,45.05,136.61,29.24,2.19
Marsh Harbour,24,BS,1552236444,100,26.54,-77.06,75.91,12.77
Chuy,0,UY,1552236533,80,-33.69,-53.46,72.13,15.68
Corner Brook,5,CA,1552236305,50,48.95,-57.95,28.4,12.75
Arraial do Cabo,0,BR,1552233600,79,-22.97,-42.02,89.6,14.99
Luxor,0,EG,1552233600,31,25.7,32.65,77.0,4.7
Iqaluit,20,CA,1552236169,69,63.75,-68.52,-9.01,2.75
Iralaya,40,HN,1552233600,66,15.0,-83.23,84.2,11.41
Coari,20,BR,1552236734,68,-4.09,-63.14,87.97,2.98
Najran,12,SA,1552236735,33,17.54,44.22,65.47,6.62
Ordzhonikidze,0,UA,1552236737,79,44.96,35.36,47.47,21.54
Dikson,64,RU,1552236738,82,73.51,80.55,9.26,8.52
Saposoa,75,PE,1552233600,290,-6.93,-76.77,62.6,4.7
Hovd,20,NO,1552236563,58,63.83,10.7,32.0,4.7
Rayong,20,TH,1552236538,74,12.68,101.28,80.6,5.82
Ancud,0,CL,1552233600,47,-41.87,-73.83,75.2,5.82
Starominskaya,92,RU,1552236745,91,46.54,39.06,46.16,19.6
Komsomolskiy,80,RU,1552236746,88,67.55,63.78,21.14,4.72
Ngaoundere,20,CM,1552233600,29,7.32,13.58,91.4,9.17
Cayenne,75,GF,1552235400,70,4.94,-52.33,84.2,16.11
Burnie,0,AU,1552236747,94,-41.05,145.91,51.01,3.0
Castro,0,CL,1552233600,47,-42.48,-73.76,75.2,5.82
Ciudad Bolivar,0,VE,1552236753,35,8.12,-63.55,95.89,13.27
La Paz,20,MX,1552232400,55,24.15,-110.32,64.4,3.36
Navoi,40,IT,1552236750,92,46.17,11.83,64.4,4.7
Hay River,40,CA,1552233600,62,60.82,-115.79,19.4,8.05
Nikolskoye,90,RU,1552236670,96,59.7,30.79,34.0,11.18
Sao Filipe,0,CV,1552236760,86,14.9,-24.5,73.34,13.78
Gwanda,0,ZW,1552236761,33,-20.94,29.0,78.34,13.11
Bredasdorp,92,ZA,1552236384,68,-34.53,20.04,69.8,17.22
Margate,20,AU,1552236736,50,-43.03,147.26,57.2,14.99
Walvis Bay,0,NA,1552233781,46,-22.95,14.51,73.4,14.99
San Carlos del Zulia,0,VE,1552236628,44,9.0,-71.91,96.34,3.31
Mul,0,IN,1552236767,64,20.07,79.68,74.02,3.6
Hobart,20,AU,1552236496,50,-42.88,147.33,57.2,14.99
Fairbanks,75,US,1552236603,50,64.84,-147.72,37.4,6.93
Agua Dulce,5,MX,1552233300,70,18.14,-94.15,84.2,4.32
Kant,0,KG,1552235400,86,42.89,74.85,37.4,4.47
Chabahar,0,IR,1552236774,93,25.29,60.65,71.14,15.39
Narsaq,0,GL,1552233000,71,60.91,-46.05,32.0,1.12
Victoria,90,BN,1552235400,94,5.28,115.24,77.0,0.69
Chota,90,EC,1552233600,82,0.47,-78.07,55.4,2.48
Asyut,0,EG,1552233600,29,27.18,31.19,75.2,16.11
Chokurdakh,80,RU,1552236781,67,70.62,147.9,-9.42,3.09
Codrington,0,AU,1552236601,88,-28.95,153.24,77.0,5.73
Kaduqli,0,SD,1552236784,51,11.01,29.72,76.04,1.48
Mount Gambier,75,AU,1552233600,93,-37.83,140.78,59.0,5.82
Misratah,48,LY,1552236787,80,32.38,15.09,61.42,9.42
Zhigansk,76,RU,1552236788,81,66.77,123.37,5.62,3.04
Bulawayo,0,ZW,1552236789,34,-20.16,28.59,74.92,11.59
Port Hawkesbury,1,CA,1552236423,53,45.62,-61.36,39.0,8.05
Shatsk,88,UA,1552236792,85,51.49,23.92,39.23,9.8
Lazaro Cardenas,90,MX,1552236544,41,28.39,-105.62,66.99,5.82
Cidreira,44,BR,1552236795,82,-30.17,-50.22,72.85,11.77
Port Hedland,0,AU,1552235400,74,-20.31,118.58,84.2,3.36
Xining,68,CN,1552236798,40,36.62,101.77,17.09,2.82
Axim,0,GH,1552236799,97,4.87,-2.24,83.06,9.01
Miranda,75,CO,1552233600,65,3.25,-76.23,80.6,3.36
Binucayan,44,PH,1552236802,90,8.25,125.72,71.86,0.81
Roebourne,0,AU,1552236803,69,-20.77,117.15,78.29,4.54
Lamu,56,ID,1552236804,100,0.57,122.3,71.54,2.37
Norman Wells,20,CA,1552233600,91,65.28,-126.83,-2.21,2.53
Suntar,0,RU,1552236807,74,62.16,117.65,5.08,5.32
Valence,75,FR,1552236445,52,44.93,4.89,64.4,6.93
Lasa,20,CY,1552236399,82,34.92,32.53,60.8,10.29
Guaruja,90,BR,1552233600,83,-23.99,-46.26,80.6,8.05
Roald,40,NO,1552236602,64,62.58,6.12,35.6,8.05
Ailigandi,12,PA,1552236813,60,9.23,-78.02,87.29,8.3
Buin,20,CL,1552233600,56,-33.73,-70.74,69.8,4.7
Salalah,0,OM,1552233000,57,17.01,54.1,78.8,3.36
Kodiak,1,US,1552236772,100,39.95,-94.76,37.99,13.87
Lata,0,IN,1552236819,96,30.78,78.62,30.14,1.81
Atambua,56,ID,1552236677,100,-9.11,124.89,75.59,4.88
Ayan,0,TR,1552236822,64,40.67,33.6,41.08,4.76
Portland,1,US,1552236727,74,45.52,-122.67,39.0,3.36
Caravelas,12,BR,1552236824,100,-17.73,-39.27,84.1,13.15
Abha,0,SA,1552233600,55,18.22,42.5,64.4,3.36
Moravsky Krumlov,0,CZ,1552236749,81,49.05,16.31,55.99,10.29
Lang Suan,0,TH,1552236828,99,9.95,99.07,75.73,2.59
Omutninsk,8,RU,1552236830,81,58.67,52.18,22.18,9.75
Boa Vista,40,BR,1552233600,38,2.82,-60.67,93.2,20.8
Ahipara,76,NZ,1552236804,100,-35.17,173.16,57.0,4.83
Sao Miguel do Araguaia,48,BR,1552236835,97,-13.28,-50.16,83.83,4.88
Manaure,40,CO,1552233600,52,11.78,-72.45,89.6,20.8
Ilulissat,75,GL,1552233000,72,69.22,-51.1,12.2,12.75
Oussouye,0,SN,1552233600,61,12.49,-16.54,100.4,8.79
Lagoa,0,PT,1552236729,59,37.14,-8.45,73.99,6.93
Theux,75,BE,1552236733,81,50.54,5.81,46.99,25.28
Leningradskiy,36,RU,1552236843,63,69.38,178.42,-8.29,3.38
Poum,36,MK,1552236845,51,41.28,20.71,47.47,3.2
Kaili,36,ID,1552236846,89,-3.46,120.21,68.93,2.04
Sinnamary,76,GF,1552236847,96,5.38,-52.96,79.6,11.25
Myanaung,0,MM,1552236849,68,18.28,95.32,69.29,5.1
Aklavik,20,CA,1552233600,84,68.22,-135.01,17.6,3.36
Loma Alta,1,HN,1552233480,37,14.79,-87.58,84.2,6.93
Mosquera,75,CO,1552233600,55,4.71,-74.23,66.2,8.05
Vangaindrano,92,MG,1552236854,86,-23.35,47.6,73.34,2.71
Noshiro,64,JP,1552236855,90,40.21,140.05,45.71,15.35
Kungurtug,0,RU,1552236857,61,50.6,97.53,-0.64,3.6
Tazovskiy,80,RU,1552236858,81,67.47,78.7,18.85,8.57
Lavrentiya,80,RU,1552236860,96,65.58,-170.99,22.9,37.49
Coihaique,0,CL,1552233600,55,-45.58,-72.07,68.0,3.36
Podporozhye,92,RU,1552236862,96,60.91,34.16,34.64,9.31
Jumla,0,NP,1552236863,92,29.28,82.18,19.34,2.26
Umm Lajj,0,SA,1552236864,81,25.02,37.27,68.17,12.33
Petropavlovsk-Kamchatskiy,0,RU,1552233600,66,53.05,158.65,14.0,8.95
Betong,24,MY,1552236867,95,5.77,101.07,72.31,2.08
Kavieng,88,PG,1552236868,100,-2.57,150.8,80.95,10.36
Saint-Leu,40,RE,1552236407,69,-21.15,55.28,80.6,4.7
Rock Sound,76,BS,1552236871,99,24.9,-76.2,76.58,13.38
Mount Isa,0,AU,1552235400,61,-20.73,139.49,78.8,3.36
Baruun-Urt,44,MN,1552236874,56,46.68,113.28,23.53,8.79
Platanos,0,GR,1552236345,52,35.47,23.6,66.2,9.17
Botwood,75,CA,1552236772,63,49.14,-55.34,34.0,18.34
Agirish,20,RU,1552236878,72,61.92,63.02,28.16,8.3
Namtsy,0,RU,1552233600,83,62.72,129.66,-9.41,4.47
Neuquen,0,AR,1552233600,38,-38.95,-68.06,73.4,13.87
Fatehpur Chaurasi,0,IN,1552233600,53,26.78,80.27,71.6,3.36
Pevek,0,RU,1552236883,83,69.7,170.27,-19.59,2.86
Yantal,36,RU,1552236885,61,56.85,105.25,15.25,6.06
Moree,8,AU,1552236344,35,-29.46,149.84,73.0,3.36
Half Moon Bay,1,US,1552236724,81,37.46,-122.43,52.0,9.17
Kargat,12,RU,1552236889,81,55.19,80.28,16.42,14.27
Avera,90,US,1552236821,73,33.19,-82.53,77.0,11.41
Souillac,20,FR,1552236848,54,45.6,-0.6,55.99,17.22
Tautira,90,PF,1552236791,83,-17.73,-149.15,78.8,11.41
Vila Velha,40,BR,1552236495,78,-3.71,-38.6,82.4,18.34
Yinchuan,12,CN,1552236896,65,38.48,106.21,18.31,1.3
Baykit,64,RU,1552236897,61,61.68,96.39,3.23,4.76
Guerrero,75,AR,1552233600,63,-24.19,-65.45,66.2,2.24
Mrakovo,92,RU,1552236900,94,52.72,56.62,33.38,9.01
Nouadhibou,0,MR,1552233600,16,20.93,-17.03,87.8,4.7
Takaungu,20,KE,1552233600,78,-3.68,39.86,82.4,9.17
Say,24,NE,1552236904,19,13.1,2.36,90.94,9.8
Alofi,88,NU,1552233600,94,-19.06,-169.92,75.2,4.7
Savelugu,36,GH,1552236907,59,9.63,-0.83,83.96,4.76
Coahuayana,0,MX,1552236908,24,18.62,-100.35,87.88,3.04
Carutapera,88,BR,1552236909,100,-1.2,-46.02,78.07,5.06
Kingori,20,TZ,1552233600,31,-3.38,37.02,87.8,17.22
Kaduna,12,NG,1552236912,25,10.52,7.44,88.24,7.11
Vestmannaeyjar,0,IS,1552233600,55,63.44,-20.27,35.6,13.87
Nefteyugansk,90,RU,1552235400,86,61.09,72.61,26.6,13.42
Ugoofaaru,0,MV,1552236916,100,5.67,73.0,82.3,2.53
Rawson,0,AR,1552236755,21,-43.3,-65.11,89.05,16.91
Broome,40,GB,1552236903,80,52.47,1.45,46.99,20.8
Bonthe,0,SL,1552236920,64,7.53,-12.5,87.25,5.88
Richards Bay,92,ZA,1552236921,97,-28.77,32.06,72.76,4.54
Longyearbyen,20,NO,1552233000,70,78.22,15.63,1.4,2.24
Beira,75,ES,1552236906,82,43.2,-8.36,59.0,6.93
Shubarshi,12,KZ,1552236925,88,48.59,57.19,34.87,14.05
Ust-Tsilma,64,RU,1552236926,76,65.44,52.15,28.88,8.52
Rapid Valley,1,US,1552236905,73,44.06,-103.15,37.0,4.7
Valparaiso,90,US,1552236924,80,41.47,-87.06,37.4,24.16
Serdobsk,92,RU,1552236930,96,52.46,44.21,32.93,7.4
Biak,32,ID,1552236932,100,-0.91,122.88,77.39,3.2
Hamilton,40,BM,1552236368,64,32.3,-64.78,68.0,12.75
Bulls,0,NZ,1552236904,90,-40.17,175.39,57.99,10.31
Qasigiannguit,75,GL,1552233000,72,68.82,-51.19,12.2,12.75
Pleshanovo,48,RU,1552233600,86,57.46,28.17,37.4,6.71
Lodja,8,CD,1552236939,84,-3.52,23.6,78.11,1.3
Makakilo City,1,US,1552236939,68,21.35,-158.09,73.99,8.05
Nacala,80,MZ,1552236942,100,-14.56,40.69,79.51,3.76
Nabire,80,ID,1552236943,97,-3.36,135.5,66.86,2.08
Kota Belud,75,MY,1552236616,88,6.35,116.43,77.0,5.82
Talnakh,80,RU,1552236946,85,69.49,88.39,13.27,20.42
Guaca,75,CO,1552233600,88,6.88,-72.86,73.4,3.36
Bowen,75,AU,1552236910,94,-20.01,148.25,73.0,5.82
Surt,0,LY,1552236694,80,31.21,16.59,62.86,11.88
Kaitangata,20,NZ,1552236951,82,-46.28,169.85,51.97,7.56
Huayucachi,68,PE,1552236952,76,-12.13,-75.23,50.26,2.48
Kenai,90,US,1552236724,80,60.55,-151.26,35.01,5.82
Nangomba,88,TZ,1552236955,92,-10.9,38.52,75.01,4.38
El Silencio,36,CO,1552236957,76,7.03,-74.84,81.76,2.53
North Bend,1,US,1552236813,93,43.41,-124.22,39.0,5.82
Rionero in Vulture,0,IT,1552236959,73,40.93,15.67,50.26,8.23
Mantua,0,IT,1552236907,59,45.16,10.79,63.0,6.93
Atbasar,36,KZ,1552236962,83,51.81,68.36,18.26,10.87
Hasaki,75,JP,1552236574,93,35.73,140.83,52.0,11.41
Livadi,40,GR,1552236855,37,40.13,22.16,69.8,6.93
Batemans Bay,36,AU,1552236904,78,-35.71,150.18,64.99,3.0
Mehamn,40,NO,1552233000,72,71.03,27.85,19.4,6.93
Guasdualito,40,VE,1552233600,44,7.24,-70.73,93.2,3.36
Faya,0,SA,1552233600,55,18.39,42.45,64.4,3.36
Faanui,36,PF,1552236972,100,-16.48,-151.75,81.98,8.86
Corn Island,80,NI,1552236973,100,12.17,-83.04,79.69,15.35
Billings,1,US,1552236703,66,45.79,-108.5,21.99,11.41
Tuatapere,8,NZ,1552236605,88,-46.13,167.69,55.0,2.08
Bontang,36,ID,1552236977,98,0.12,117.47,81.13,3.98
Kyaikkami,0,MM,1552236978,86,16.08,97.57,66.41,2.08
Panguna,56,PG,1552236979,93,-6.32,155.48,75.1,2.82
Paamiut,8,GL,1552236981,100,61.99,-49.67,27.44,26.35
Okuchi,12,JP,1552236982,90,32.07,130.62,48.37,10.02
Vilhena,20,BR,1552233600,65,-12.74,-60.15,82.4,4.7
Klyuchi,0,RU,1552236985,80,52.25,79.17,8.36,8.41
Didi Lilo,0,GE,1552235400,50,41.74,44.97,51.8,3.36
Saint Anthony,1,US,1552236914,62,43.97,-111.68,30.0,5.82
Eydhafushi,0,MV,1552236989,100,5.1,73.07,82.3,2.53
Saint-Joseph,0,FR,1552236955,37,43.56,6.97,69.8,11.41
Atar,0,MR,1552236992,9,20.52,-13.05,86.35,9.13
Stepnyak,76,KZ,1552236994,85,52.83,70.79,19.79,15.84
Kotelnich,88,RU,1552236995,85,58.31,48.34,28.93,11.54
Bima,36,ID,1552236996,100,-8.45,118.73,74.02,1.86
Yatou,40,CM,1552233600,59,3.63,9.81,89.6,4.7
Shasta Lake,90,US,1552236999,100,40.68,-122.36,44.6,1.81
Sitka,56,US,1552237000,59,37.17,-99.65,44.59,12.33
Saskylakh,44,RU,1552237002,76,71.97,114.09,-12.07,8.12
Ntungamo,12,UG,1552237003,80,-0.87,30.27,66.82,2.26
Ponta Delgada,75,PT,1552233600,82,37.73,-25.67,62.6,9.17
Marsa Matruh,0,EG,1552233600,45,31.35,27.25,64.4,9.17
Bilecik,0,TR,1552234800,44,40.14,29.98,61.0,2.24
Pias,90,PT,1552236907,100,42.02,-8.51,61.0,3.36
San Policarpo,12,PH,1552237010,100,12.18,125.51,72.85,2.37
Khandyga,64,RU,1552237011,62,62.65,135.58,0.04,1.48
Merauke,92,ID,1552237012,100,-8.49,140.4,76.36,1.25
Brazzaville,20,CD,1552233600,49,-4.27,15.27,95.0,6.93
Koumac,56,NC,1552237015,93,-20.56,164.28,75.46,6.4
Ankara,40,TR,1552233000,59,39.92,32.85,59.0,14.99
Northam,40,GB,1552236972,75,51.04,-4.21,46.4,12.75
Monroe,90,US,1552237019,86,41.91,-83.4,39.2,25.28
Lagos,12,NG,1552236975,67,6.46,3.39,85.76,9.42
Muros,75,ES,1552236991,87,42.77,-9.06,61.0,4.7
Constitucion,20,MX,1552236616,26,23.99,-104.67,66.0,5.82
Aleksandriya,36,RU,1552237024,59,45.09,43.24,50.66,5.5
La Romana,40,DO,1552233600,66,18.43,-68.97,86.0,13.87
Tanabe,64,JP,1552237027,82,33.73,135.39,56.78,8.34
Mbini,40,GQ,1552233600,83,1.58,9.62,84.2,10.29
Kaifeng,0,CN,1552233600,53,34.8,114.35,51.8,6.71
Nanortalik,20,GL,1552237031,100,60.14,-45.24,28.43,14.05
Flinders,44,AU,1552236911,82,-34.58,150.85,75.99,4.83
Saldanha,0,PT,1552237034,54,41.42,-6.55,60.52,8.9
Marawi,44,PH,1552236339,82,8.0,124.29,73.99,1.99
Raudeberg,20,NO,1552236903,64,61.99,5.14,35.6,3.36
Beringovskiy,64,RU,1552237038,87,63.05,179.32,5.93,29.37
San Quintin,8,PH,1552237039,78,17.54,120.52,63.94,2.82
Port Macquarie,90,AU,1552236845,100,-31.43,152.91,73.99,4.7
Meulaboh,92,ID,1552237042,100,4.14,96.13,77.8,5.39
La Asuncion,20,EC,1552237043,70,-1.64,-78.74,58.18,3.83
Salym,88,RU,1552237045,86,60.06,71.48,31.99,9.31
Mumford,20,GH,1552237046,70,5.26,-0.76,85.36,7.56
Sesheke,24,NA,1552237048,36,-17.47,24.29,83.65,5.84
Kirksville,1,US,1552235700,75,40.19,-92.58,35.6,17.22
